address,date,district,price,project,server,source,spider,subdistrict,title,url
 沁春园一村 - 莘庄二手房出售 -莘西南路400弄,20180203120125,闵行,300 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/shenzhuang/o2/,ganji,莘庄,"特价钥匙房现场实堪低于市场价30万家具家电全送,-镇-",http://sh.ganji.com/fang5/2899044208x.htm
 沁春园三村 - 莘庄二手房出售 -沁春路1366弄,20180203120125,闵行,480 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/shenzhuang/o2/,ganji,莘庄,钥匙房新上架精装家具家电全送絶对拎包入住已出国降价急售,http://sh.ganji.com/fang5/2877808233x.htm
清馨苑- 莘庄二手房出售 -申北路385号,20180203120125,闵行,285 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/shenzhuang/o2/,ganji,莘庄,"靠莘庄版块:5号线沿线精致两房南北通户型,附送家具家电!",http://sh.ganji.com/fang5/2893137573x.htm
申莘二村- 莘庄二手房出售 ,20180203120125,闵行,285 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/shenzhuang/o2/,ganji,莘庄,精装修首次出售价格实惠，,http://sh.ganji.com/fang5/2908067905x.htm
 宝安新苑 - 莘庄二手房出售 -疏影路789弄1-118...,20180203120125,闵行,462 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/shenzhuang/o2/,ganji,莘庄,宝安电梯房什么叫真正特价房看看这套你会明白!急售,http://sh.ganji.com/fang5/2973112391x.htm
 金竹园 - 莘庄二手房出售 -春东路950弄,20180203120125,闵行,490 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/shenzhuang/o2/,ganji,莘庄,金竹园地铁口业主置换诚售配套完善带车位满五省税,http://sh.ganji.com/fang5/2971602524x.htm
 上海康城 - 莘庄二手房出售 -莘松路958弄,20180203120125,闵行,440 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/shenzhuang/o2/,ganji,莘庄,"康城精装大三房,保养好,南北通,采光通风佳,满五年,交通便利",http://sh.ganji.com/fang5/2972123444x.htm
 森都公寓 - 莘庄二手房出售 -莘北路50弄,20180203120125,闵行,62 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/shenzhuang/o2/,ganji,莘庄,"首付20万,1号线地铁口,5.6米挑高精装复式,外地人可买!",http://sh.ganji.com/fang5/2877444747x.htm
 华园 - 静安寺二手房出售 -万航渡路540号,20180203120136,静安,890 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/jingansi/o2/,ganji,静安寺,古北抢手一手房+精装交付。位置希缺+价格低+看房方便提前预约,http://sh.ganji.com/fang5/2923851262x.htm
 嘉天汇 - 静安寺二手房出售 -新闸路1999弄,20180203120136,静安,3500 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/jingansi/o2/,ganji,静安寺,嘉天汇+静安区豪宅典范+垂直水景+现代简约+随时可以看房,http://sh.ganji.com/fang5/3007969157x.htm
