address,date,district,price,project,server,source,spider,subdistrict,title,url
申莘二村- 莘庄二手房出售 ,20180202015412,闵行,285 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/shenzhuang/o2/,ganji,莘庄,精装修首次出售价格实惠，,http://sh.ganji.com/fang5/2908067905x.htm
 宝安新苑 - 莘庄二手房出售 -疏影路789弄1-118...,20180202015412,闵行,462 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/shenzhuang/o2/,ganji,莘庄,宝安电梯房什么叫真正特价房看看这套你会明白!急售,http://sh.ganji.com/fang5/2973112391x.htm
 金竹园 - 莘庄二手房出售 -春东路950弄,20180202015412,闵行,490 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/shenzhuang/o2/,ganji,莘庄,金竹园地铁口业主置换诚售配套完善带车位满五省税,http://sh.ganji.com/fang5/2971602524x.htm
 上海康城 - 莘庄二手房出售 -莘松路958弄,20180202015412,闵行,440 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/shenzhuang/o2/,ganji,莘庄,"康城精装大三房,保养好,南北通,采光通风佳,满五年,交通便利",http://sh.ganji.com/fang5/2972123444x.htm
 森都公寓 - 莘庄二手房出售 -莘北路50弄,20180202015412,闵行,62 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/shenzhuang/o2/,ganji,莘庄,"首付20万,1号线地铁口,5.6米挑高精装复式,外地人可买!",http://sh.ganji.com/fang5/2877444747x.htm
 沁春园一村 - 莘庄二手房出售 -莘西南路400弄,20180202015412,闵行,265 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/shenzhuang/o2/,ganji,莘庄,特价钥匙房归乡低于市场价30万诚售接受置换可提前交房,http://sh.ganji.com/fang5/2878055184x.htm
 尚街Loft - 淮海西路二手房出售 -嘉善路508号,20180202015412,徐汇,98 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/huaihaixilu/o2/,ganji,淮海西路,近地铁高租金8000可网签不限贷通燃气复式6米精装公寓,http://sh.ganji.com/fang5/3010416545x.htm
 鸿艺豪苑 - 淮海西路二手房出售 -淮海中路1500弄,20180202015412,徐汇,1200 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/huaihaixilu/o2/,ganji,淮海西路,《鸿艺豪苑》淮海中路品质小区+精致装修+台湾业主诚售,http://sh.ganji.com/fang5/2921002450x.htm
 百安小区 - 淮海西路二手房出售 -高安路100弄1-1...,20180202015412,徐汇,480 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/huaihaixilu/o2/,ganji,淮海西路,厨卫全明，卧室全南，交通方便，光线充足,http://sh.ganji.com/fang5/3006094487x.htm
 新乐路公房 - 淮海西路二手房出售 -新乐路143弄,20180202015412,徐汇,610 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/huaihaixilu/o2/,ganji,淮海西路,产权新里，两房朝南带15平天井，精致装修租金高，近淮海中路,http://sh.ganji.com/fang5/3009618320x.htm
